address,language,elipmoc
0x68c4b7d05fae45bcb6192bb93e246c77e98360e1,Solidity,0
0xd5524179cb7ae012f5b642c1d6d700bbaa76b96b,Solidity,0
0x0286f920f893513c7ec9fe35ba0a4760229a243e,Solidity,0
0x5eee354e36ac51e9d3f7283005cab0c55f423b23,Solidity,0
0xeb3107117fead7de89cd14d463d340a2e6917769,Solidity,0
0xb8c77482e45f1f44de1745f52c74426c631bdd52,Solidity,0
0x833ede3050c27d88e5da6922a312e3fdc15be29b,Solidity,0
0x9798d857476de56c066abb4f8395e8f061893bac,Solidity,0
0x1e20b7d24d429b0de705d3ff8b88ec651d28a935,Solidity,0
0xdfd8e9fda3ac12884e35eaea35d763517bb79176,Solidity,0
0x645f0c9695f2b970e623ae29538fdb1a67bd6b6e,Solidity,0
0x465d3bd8ba9879352796a2337b58d2ad9f4b8175,Solidity,0
0xff51c457c84c970bcfbf6f6551dc527421ec4231,Solidity,0
0x39fbd1140cd1fc298f00c3ea64b3591de94c67e7,Solidity,0
0x09b4c8200f0cb51e6d44a1974a1bc07336b9f47f,Solidity,0
